hash,Учебная группа,Специальность/направление,sem_key,n_records,n_distinct_disciplines,n_otlichno,n_horosho,n_udovl,n_neudovl,n_neyavka,n_nezachteno,n_debts,n_zachet_rows,n_zachteno,avg_score,avg_discipline_difficulty,group_difficulty,specialty_difficulty,n_retake_rows_in_semester,has_retake_in_semester,share_zachteno,semester_number,prev_avg_score,score_trend,actual_category,predicted_category,probability_0,probability_1,probability_2,probability_3+,match
d43e076eca7128a160c1bcc6dd45a0f0,БЭК-20-3,Экономика,4045,12,10,3,2,4,1,1,0,2,1,1,3.7,0.0845547375135222,0.0261627906976744,0.023658464275126,2,True,1.0,6,4.0,-0.2999999999999998,0,2,0.028915421212289356,0.2564484410219035,0.3771563629033037,0.3374797748625038,False
d44ed7bdc0155e06f564e53c6a0f4d8a,СГД-19-1,Горное дело,4045,8,8,7,0,0,0,0,0,0,0,0,5.0,0.0753141290388353,0.0897666068222621,0.028757550633661,0,False,1.0,8,5.0,0.0,0,0,0.7748467227094405,0.13422722989862657,0.021803380350964588,0.0691226670409684,True
d4777e96f0c69d00f003ceb61ec6b615,ММТ-22-7,Металлургия,4045,6,6,4,1,0,0,0,0,0,1,1,4.8,0.0647825905784691,0.0394973070017953,0.067370178262684,0,False,1.0,2,4.6,0.2000000000000001,3+,0,0.5636359750408299,0.2621780793554529,0.07573830839975078,0.09844763720396722,False
d4c80d0e4c361e9bac24d3a475c03932,ММТМ-22-9,Материаловедение и технологии материалов,4045,6,6,5,0,0,0,0,0,0,1,1,5.0,0.0194253217342278,0.0,0.0207856854567469,0,False,1.0,2,5.0,0.0,0,0,0.985199550944024,0.012983534726046452,0.001127547660059397,0.0006893666698705525,True
d4efe0ae50a96c28b79c70697b7b95f0,БЭК-21-1,Экономика,4045,8,8,7,0,0,0,0,0,0,1,1,5.0,0.013755359291615,0.0008176614881439,0.023658464275126,0,False,1.0,4,5.0,0.0,0,0,0.9826534525382838,0.01292134581709329,0.0030860717168407995,0.001339129927782086,True
d53098f152acfcd2153c455a7c48ac8f,СФП-18-1,Физические процессы горного или нефтегазового производства,4045,8,7,6,2,0,0,0,0,0,0,0,4.75,0.0033002645502645,0.0,0.0206825232678386,1,True,1.0,10,5.0,-0.25,0,0,0.9576485397354679,0.03277290085478621,0.002846207376478775,0.006732352033267099,True
d573cefaeb15beaf192cfb7ce378fd57,БМН-21-1,Менеджмент,4045,9,8,1,3,4,0,0,0,0,1,1,3.625,0.0143834863450625,0.0,0.0306122448979591,1,True,1.0,4,4.142857142857143,-0.5178571428571432,0,0,0.7838023116996536,0.11812856481067463,0.06533612810554014,0.032732995384132005,True
d66b7c46bd003a9117c9cd34d04e1f73,СФП-18-1,Физические процессы горного или нефтегазового производства,4045,9,7,7,2,0,0,0,0,0,0,0,4.777777777777778,0.002933568489124,0.0,0.0206825232678386,2,True,1.0,10,4.428571428571429,0.3492063492063488,0,0,0.9365302604585747,0.048068421128504395,0.009017999159887987,0.006383319253032835,True
d6a5192147f6693968d07e9da7921838,БЭК-21-1,Экономика,4045,8,8,5,2,0,0,0,0,0,1,1,4.714285714285714,0.013755359291615,0.0008176614881439,0.023658464275126,0,False,1.0,4,4.625,0.0892857142857144,0,0,0.9724548405112418,0.023254471549275988,0.003242073210594796,0.0010486147288877579,True
d6d32f274d894df3b2fbbbc3ba17ca12,МИВТ-22-3-1,Информатика и вычислительная техника,4045,6,6,4,1,0,0,0,0,0,0,0,4.8,0.0961778869985437,0.0766871165644171,0.0237543949918531,0,False,1.0,2,4.75,0.0499999999999998,0,0,0.5621909638658633,0.28039045476328234,0.0628450678582069,0.09457351351264777,True
